Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01,46.700001,47.290001,44.680000,47.189999,38.001312,12896600
2012-12-01,47.389999,48.330002,47.060001,48.080002,38.718018,26305700
2013-01-01,48.919998,50.240002,48.430000,49.889999,40.577053,20383500
2013-02-01,50.259998,50.560001,48.970001,49.840000,40.536388,17324600
2013-03-01,49.610001,51.110001,49.410000,50.750000,41.276508,14817400
2013-04-01,50.669998,52.270000,49.770000,52.189999,42.447701,17340900
2013-05-01,52.169998,54.529999,51.709999,51.990002,42.285049,19524800
2013-06-01,52.070000,52.430000,48.799999,50.000000,40.666512,33914200
2013-07-01,50.299999,52.980000,49.730000,52.290001,43.071182,23474700
2013-08-01,52.730000,53.270000,51.009998,51.090000,42.082741,23574700
2013-09-01,51.900002,55.259998,51.410000,53.919998,44.413807,23994800
2013-10-01,53.919998,56.700001,53.029999,56.049999,46.168278,26643100
2013-11-01,56.009998,57.189999,55.299999,56.919998,46.884899,20167400
2013-12-01,56.869999,57.680000,54.959999,57.619999,47.461494,39988000
2014-01-01,57.189999,57.459999,54.570000,54.950001,45.637543,27800600
2014-02-01,54.970001,58.090000,53.730000,57.810001,48.012856,24922900
2014-03-01,57.160000,58.480000,56.450001,58.139999,48.286938,26373400
2014-04-01,58.299999,58.919998,56.709999,58.830002,48.860004,21717500
2014-05-01,58.779999,60.029999,58.270000,60.009998,49.840015,23821500
2014-06-01,60.049999,61.279999,59.700001,60.259998,50.047653,15637700
2014-07-01,60.430000,61.160000,59.369999,59.389999,50.013573,21782600
2014-08-01,59.139999,61.029999,58.240002,60.919998,51.302025,25119000
2014-09-01,60.990002,61.320000,58.689999,58.900002,49.600937,18990700
2014-10-01,58.720001,59.669998,54.549999,59.610001,50.198845,42320400
2014-11-01,59.419998,60.820000,58.770000,60.430000,50.889385,19001300
2014-12-01,60.130001,60.509998,56.610001,58.500000,49.264088,56291500
2015-01-01,58.660000,59.230000,56.400002,57.730000,49.035545,62685800
2015-02-01,57.939999,61.279999,57.630001,60.910000,51.736610,22356700
2015-03-01,60.880001,61.369999,58.700001,60.020000,50.980659,26375800
2015-04-01,60.119999,62.980000,59.790001,61.740002,52.441612,27654600
2015-05-01,61.950001,63.080002,61.169998,61.740002,52.441612,21332000
2015-06-01,61.939999,62.400002,59.230000,59.450001,50.496502,23542500
2015-07-01,59.950001,60.970001,57.919998,59.939999,51.510578,31272900
2015-08-01,59.919998,60.240002,50.369999,55.860001,48.004356,46407300
2015-09-01,54.410000,57.180000,52.560001,53.939999,46.354362,51408300
2015-10-01,54.189999,58.619999,53.480000,58.070000,49.903557,45615800
2015-11-01,58.340000,59.060001,56.330002,57.759998,49.637150,44521800
2015-12-01,58.060001,58.360001,54.930000,55.820000,47.969971,70313500
2016-01-01,54.830002,54.970001,49.090000,52.860001,46.015202,79296800
2016-02-01,52.439999,52.970001,49.040001,52.200001,45.440659,48912600
2016-03-01,52.709999,56.570000,52.650002,56.060001,48.800831,36663700
2016-04-01,55.360001,58.060001,54.799999,56.810001,49.453720,34852700
2016-05-01,57.040001,57.349998,55.160000,57.000000,49.619114,36185300
2016-06-01,56.820000,58.200001,52.919998,56.230000,48.948818,42089200
2016-07-01,56.220001,58.419998,55.000000,58.349998,51.464287,32384700
2016-08-01,58.400002,59.509998,57.529999,58.549999,51.640678,37117800
2016-09-01,58.709999,59.759998,57.459999,59.099998,52.125782,40579800
2016-10-01,58.970001,59.209999,57.439999,57.970001,51.129131,28563100
2016-11-01,58.139999,58.930000,56.689999,58.570000,51.658325,49767800
2016-12-01,58.590000,60.770000,58.220001,59.169998,52.187523,52684100
2017-01-01,59.610001,61.480000,59.349998,60.889999,54.203121,40419900
2017-02-01,61.130001,62.930000,60.790001,62.419998,55.565094,40415100
2017-03-01,62.830002,63.869999,62.209999,63.259998,56.312847,46631600
2017-04-01,63.310001,64.570000,62.529999,64.279999,57.220837,33076400
2017-05-01,64.440002,65.959999,64.169998,65.699997,58.484890,29209900
2017-06-01,65.870003,66.730003,65.000000,65.489998,58.297951,44978400
2017-07-01,65.669998,67.589996,65.019997,67.279999,60.556351,36277600
2017-08-01,67.540001,67.790001,66.150002,67.550003,60.799366,28740200
2017-09-01,67.730003,68.970001,66.940002,68.820000,61.942463,33553900
2017-10-01,68.769997,70.360001,68.769997,70.300003,63.274551,27924700
2017-11-01,70.629997,71.889999,69.529999,71.720001,64.552643,29025300
2017-12-01,71.610001,72.760002,70.800003,72.089996,64.885666,49455900
2018-01-01,72.510002,77.540001,72.330002,76.199997,69.222549,40629800
2018-02-01,75.959999,76.410004,68.519997,72.790001,66.124786,89180500
2018-03-01,72.709999,74.760002,70.050003,71.699997,65.134583,47442200
2018-04-01,71.389999,73.529999,69.669998,71.989998,65.398041,39864800
2018-05-01,71.889999,74.099998,70.739998,72.330002,65.706917,33778700
2018-06-01,72.820000,74.349998,70.209999,71.120003,64.607704,50031300
2018-07-01,70.339996,73.940002,70.339996,73.300003,67.324600,44847600
2018-08-01,73.269997,74.699997,71.220001,73.809998,67.793030,44944300
2018-09-01,73.400002,74.949997,72.180000,74.260002,68.206345,37385400
2018-10-01,74.629997,74.750000,66.230003,68.739998,63.136345,106417900
2018-11-01,69.150002,71.370003,67.029999,69.830002,64.137482,79315800
2018-12-01,70.980003,71.029999,61.009998,64.160004,58.929707,175123900
2019-01-01,63.279999,69.419998,62.910000,69.320000,64.299370,115239200
2019-02-01,69.309998,71.750000,68.430000,71.029999,65.885506,57250600
2019-03-01,71.489998,72.889999,69.500000,72.150002,66.924400,66803600
2019-04-01,72.760002,74.680000,72.680000,74.620003,69.215500,37668200
2019-05-01,74.699997,74.870003,69.860001,70.089996,65.013588,62231100
2019-06-01,70.180000,74.070000,69.889999,73.709999,68.371399,56096200
2019-07-01,74.500000,75.059998,73.129997,73.760002,69.280212,45084400
2019-08-01,73.730003,74.470001,69.820000,72.129997,67.749214,89001600
2019-09-01,71.650002,74.919998,71.440002,73.750000,69.270828,45209300
2019-10-01,73.820000,76.040001,71.120003,75.769997,71.168137,55677800
2019-11-01,76.209999,78.059998,76.190002,77.540001,72.830650,35169600
2019-12-01,77.639999,79.919998,76.019997,79.250000,74.436775,43696200
2020-01-01,79.769997,81.389999,77.900002,78.110001,74.253716,50367900
2020-02-01,78.459999,81.750000,70.169998,72.260002,68.692528,74241500
2020-03-01,72.620003,75.930000,53.310001,62.570000,59.480923,178646300
2020-04-01,60.119999,70.070000,59.299999,68.720001,65.327309,116748100
2020-05-01,67.559998,72.879997,65.769997,72.220001,68.654510,97158400
2020-06-01,72.459999,77.379997,70.870003,73.720001,70.080444,63503500
2020-07-01,73.949997,78.650002,73.889999,77.669998,74.460091,63393400
2020-08-01,78.190002,82.879997,78.070000,82.349998,78.946686,64433300
2020-09-01,82.610001,84.120003,76.940002,79.919998,76.617096,74357000
2020-10-01,80.529999,84.029999,77.339996,78.139999,74.910667,86694700
